# 預設四支 benchmark 的 A/A 對照（run 33343193382、job 99342416905、benchtime=3s、-test.count=5）
# ⛔ 與 aa-sessions.json 是**不同的 benchmark 集合**，不可池化。收它的用途只有一個：
#    回答「1.17pp 是這支 bench 特有的，還是 CI 上 A/A 的一般水準」。
# ⚠️ 只有 rounds 3-6 四輪完整（r1、r2_A 未取回，仍在該 job 的 log 裡）。
# ⚠️ 資料經本 PR 新增的 AAROW 摘要取回，故無 sha256；原件在該 job log 的 base64 記錄裡。
round	side	bench	n_iters	ns_op
3	A	BenchmarkScanDirFileHashes_1000	267	13720755
3	A	BenchmarkScanDirFileHashes_1000	267	13506084
3	A	BenchmarkScanDirFileHashes_1000	260	13429513
3	A	BenchmarkScanDirFileHashes_1000	267	13371163
3	A	BenchmarkScanDirFileHashes_1000	267	13364363
3	A	BenchmarkFullDirLoad_1000	18	187024972
3	A	BenchmarkFullDirLoad_1000	18	186669536
3	A	BenchmarkFullDirLoad_1000	18	186320132
3	A	BenchmarkFullDirLoad_1000	18	185794693
3	A	BenchmarkFullDirLoad_1000	18	186383943
3	A	BenchmarkIncrementalLoad_1000_NoChange	501	6507781
3	A	BenchmarkIncrementalLoad_1000_NoChange	502	6536937
3	A	BenchmarkIncrementalLoad_1000_NoChange	505	6477815
3	A	BenchmarkIncrementalLoad_1000_NoChange	501	6487022
3	A	BenchmarkIncrementalLoad_1000_NoChange	508	6455125
3	A	BenchmarkResolveSilentModes_1000	28790	126477
3	A	BenchmarkResolveSilentModes_1000	28681	125274
3	A	BenchmarkResolveSilentModes_1000	28442	126659
3	A	BenchmarkResolveSilentModes_1000	28651	127245
3	A	BenchmarkResolveSilentModes_1000	28592	124850
3	B	BenchmarkScanDirFileHashes_1000	267	13415662
3	B	BenchmarkScanDirFileHashes_1000	267	13373801
3	B	BenchmarkScanDirFileHashes_1000	268	13378849
3	B	BenchmarkScanDirFileHashes_1000	267	13411323
3	B	BenchmarkScanDirFileHashes_1000	267	13439853
3	B	BenchmarkFullDirLoad_1000	18	184910586
3	B	BenchmarkFullDirLoad_1000	18	185138428
3	B	BenchmarkFullDirLoad_1000	18	183945361
3	B	BenchmarkFullDirLoad_1000	18	184142727
3	B	BenchmarkFullDirLoad_1000	19	184102128
3	B	BenchmarkIncrementalLoad_1000_NoChange	499	6504502
3	B	BenchmarkIncrementalLoad_1000_NoChange	504	6471080
3	B	BenchmarkIncrementalLoad_1000_NoChange	508	6459332
3	B	BenchmarkIncrementalLoad_1000_NoChange	510	6444939
3	B	BenchmarkIncrementalLoad_1000_NoChange	508	6464841
3	B	BenchmarkResolveSilentModes_1000	28249	123673
3	B	BenchmarkResolveSilentModes_1000	29247	123520
3	B	BenchmarkResolveSilentModes_1000	29313	123978
3	B	BenchmarkResolveSilentModes_1000	29106	124368
3	B	BenchmarkResolveSilentModes_1000	28863	123713
4	A	BenchmarkScanDirFileHashes_1000	268	13425397
4	A	BenchmarkScanDirFileHashes_1000	265	13507599
4	A	BenchmarkScanDirFileHashes_1000	266	13458033
4	A	BenchmarkScanDirFileHashes_1000	259	13571562
4	A	BenchmarkScanDirFileHashes_1000	267	13409107
4	A	BenchmarkFullDirLoad_1000	18	187228559
4	A	BenchmarkFullDirLoad_1000	18	184888602
4	A	BenchmarkFullDirLoad_1000	19	185131972
4	A	BenchmarkFullDirLoad_1000	18	185798496
4	A	BenchmarkFullDirLoad_1000	19	184146918
4	A	BenchmarkIncrementalLoad_1000_NoChange	506	6492399
4	A	BenchmarkIncrementalLoad_1000_NoChange	500	6535703
4	A	BenchmarkIncrementalLoad_1000_NoChange	504	6504515
4	A	BenchmarkIncrementalLoad_1000_NoChange	506	6516931
4	A	BenchmarkIncrementalLoad_1000_NoChange	498	6567570
4	A	BenchmarkResolveSilentModes_1000	29530	123222
4	A	BenchmarkResolveSilentModes_1000	29230	123620
4	A	BenchmarkResolveSilentModes_1000	29022	124080
4	A	BenchmarkResolveSilentModes_1000	28767	124387
4	A	BenchmarkResolveSilentModes_1000	28882	123800
4	B	BenchmarkScanDirFileHashes_1000	267	13420817
4	B	BenchmarkScanDirFileHashes_1000	267	13369291
4	B	BenchmarkScanDirFileHashes_1000	268	13433982
4	B	BenchmarkScanDirFileHashes_1000	266	13493806
4	B	BenchmarkScanDirFileHashes_1000	267	13456433
4	B	BenchmarkFullDirLoad_1000	18	184530116
4	B	BenchmarkFullDirLoad_1000	19	183847395
4	B	BenchmarkFullDirLoad_1000	19	183342818
4	B	BenchmarkFullDirLoad_1000	19	184040678
4	B	BenchmarkFullDirLoad_1000	19	184417747
4	B	BenchmarkIncrementalLoad_1000_NoChange	507	6505224
4	B	BenchmarkIncrementalLoad_1000_NoChange	504	6483016
4	B	BenchmarkIncrementalLoad_1000_NoChange	507	6486614
4	B	BenchmarkIncrementalLoad_1000_NoChange	507	6477974
4	B	BenchmarkIncrementalLoad_1000_NoChange	502	6512348
4	B	BenchmarkResolveSilentModes_1000	28816	123527
4	B	BenchmarkResolveSilentModes_1000	29228	124896
4	B	BenchmarkResolveSilentModes_1000	28892	123824
4	B	BenchmarkResolveSilentModes_1000	29018	123621
4	B	BenchmarkResolveSilentModes_1000	28422	127222
5	A	BenchmarkScanDirFileHashes_1000	266	13738587
5	A	BenchmarkScanDirFileHashes_1000	264	13622554
5	A	BenchmarkScanDirFileHashes_1000	262	13737223
5	A	BenchmarkScanDirFileHashes_1000	264	13607112
5	A	BenchmarkScanDirFileHashes_1000	260	13573070
5	A	BenchmarkFullDirLoad_1000	18	185944974
5	A	BenchmarkFullDirLoad_1000	18	187025008
5	A	BenchmarkFullDirLoad_1000	19	186557808
5	A	BenchmarkFullDirLoad_1000	18	189531276
5	A	BenchmarkFullDirLoad_1000	18	188879916
