shard,round,side,bench,ns_per_op_median,n_samples
1,1,A,BenchmarkFullDirLoad_1000,107332520.0,5
1,1,A,BenchmarkIncrementalLoad_1000_NoChange,5474903.0,5
1,1,A,BenchmarkResolveSilentModes_1000,87614.0,5
1,1,A,BenchmarkScanDirFileHashes_1000,5405122.0,5
1,1,B,BenchmarkFullDirLoad_1000,109379915.0,5
1,1,B,BenchmarkIncrementalLoad_1000_NoChange,5507107.0,5
1,1,B,BenchmarkResolveSilentModes_1000,85656.0,5
1,1,B,BenchmarkScanDirFileHashes_1000,5349837.0,5
1,2,A,BenchmarkFullDirLoad_1000,106743893.0,5
1,2,A,BenchmarkIncrementalLoad_1000_NoChange,5364633.0,5
1,2,A,BenchmarkResolveSilentModes_1000,83269.0,5
1,2,A,BenchmarkScanDirFileHashes_1000,5270188.0,5
1,2,B,BenchmarkFullDirLoad_1000,105506615.0,5
1,2,B,BenchmarkIncrementalLoad_1000_NoChange,5389716.0,5
1,2,B,BenchmarkResolveSilentModes_1000,84291.0,5
1,2,B,BenchmarkScanDirFileHashes_1000,5295625.0,5
1,3,A,BenchmarkFullDirLoad_1000,106082118.0,5
1,3,A,BenchmarkIncrementalLoad_1000_NoChange,5413052.0,5
1,3,A,BenchmarkResolveSilentModes_1000,83351.0,5
1,3,A,BenchmarkScanDirFileHashes_1000,5306099.0,5
1,3,B,BenchmarkFullDirLoad_1000,104856790.0,5
1,3,B,BenchmarkIncrementalLoad_1000_NoChange,5406951.0,5
1,3,B,BenchmarkResolveSilentModes_1000,83965.0,5
1,3,B,BenchmarkScanDirFileHashes_1000,5282143.0,5
1,4,A,BenchmarkFullDirLoad_1000,111957242.0,5
1,4,A,BenchmarkIncrementalLoad_1000_NoChange,5546687.0,5
1,4,A,BenchmarkResolveSilentModes_1000,85301.0,5
1,4,A,BenchmarkScanDirFileHashes_1000,5362468.0,5
1,4,B,BenchmarkFullDirLoad_1000,104109622.0,5
1,4,B,BenchmarkIncrementalLoad_1000_NoChange,5365839.0,5
1,4,B,BenchmarkResolveSilentModes_1000,83410.0,5
1,4,B,BenchmarkScanDirFileHashes_1000,5273435.0,5
1,5,A,BenchmarkFullDirLoad_1000,104856676.0,5
1,5,A,BenchmarkIncrementalLoad_1000_NoChange,5387704.0,5
1,5,A,BenchmarkResolveSilentModes_1000,83571.0,5
1,5,A,BenchmarkScanDirFileHashes_1000,5289059.0,5
1,5,B,BenchmarkFullDirLoad_1000,103830666.0,5
1,5,B,BenchmarkIncrementalLoad_1000_NoChange,5353950.0,5
1,5,B,BenchmarkResolveSilentModes_1000,83075.0,5
1,5,B,BenchmarkScanDirFileHashes_1000,5463015.0,5
1,6,A,BenchmarkFullDirLoad_1000,108797464.0,5
1,6,A,BenchmarkIncrementalLoad_1000_NoChange,5641577.0,5
1,6,A,BenchmarkResolveSilentModes_1000,85347.0,5
1,6,A,BenchmarkScanDirFileHashes_1000,5628114.0,5
1,6,B,BenchmarkFullDirLoad_1000,108821103.0,5
1,6,B,BenchmarkIncrementalLoad_1000_NoChange,5544221.0,5
1,6,B,BenchmarkResolveSilentModes_1000,86785.0,5
1,6,B,BenchmarkScanDirFileHashes_1000,5447595.0,5
2,1,A,BenchmarkFullDirLoad_1000,181701609.0,5
2,1,A,BenchmarkIncrementalLoad_1000_NoChange,16391286.0,5
2,1,A,BenchmarkResolveSilentModes_1000,114525.0,5
2,1,A,BenchmarkScanDirFileHashes_1000,16098717.0,5
2,1,B,BenchmarkFullDirLoad_1000,182082787.0,5
2,1,B,BenchmarkIncrementalLoad_1000_NoChange,16873667.0,5
2,1,B,BenchmarkResolveSilentModes_1000,113905.0,5
2,1,B,BenchmarkScanDirFileHashes_1000,16610464.0,5
2,2,A,BenchmarkFullDirLoad_1000,185317057.0,5
2,2,A,BenchmarkIncrementalLoad_1000_NoChange,16611354.0,5
2,2,A,BenchmarkResolveSilentModes_1000,114086.0,5
2,2,A,BenchmarkScanDirFileHashes_1000,16310508.0,5
2,2,B,BenchmarkFullDirLoad_1000,186155011.0,5
2,2,B,BenchmarkIncrementalLoad_1000_NoChange,16567253.0,5
2,2,B,BenchmarkResolveSilentModes_1000,114652.0,5
2,2,B,BenchmarkScanDirFileHashes_1000,16232772.0,5
2,3,A,BenchmarkFullDirLoad_1000,184489196.0,5
2,3,A,BenchmarkIncrementalLoad_1000_NoChange,16632102.0,5
2,3,A,BenchmarkResolveSilentModes_1000,113471.0,5
2,3,A,BenchmarkScanDirFileHashes_1000,16271176.0,5
2,3,B,BenchmarkFullDirLoad_1000,184561327.0,5
2,3,B,BenchmarkIncrementalLoad_1000_NoChange,16916549.0,5
2,3,B,BenchmarkResolveSilentModes_1000,114740.0,5
2,3,B,BenchmarkScanDirFileHashes_1000,16270812.0,5
2,4,A,BenchmarkFullDirLoad_1000,188198218.0,5
2,4,A,BenchmarkIncrementalLoad_1000_NoChange,16721531.0,5
2,4,A,BenchmarkResolveSilentModes_1000,112499.0,5
2,4,A,BenchmarkScanDirFileHashes_1000,16393795.0,5
2,4,B,BenchmarkFullDirLoad_1000,184526359.0,5
2,4,B,BenchmarkIncrementalLoad_1000_NoChange,16627770.0,5
2,4,B,BenchmarkResolveSilentModes_1000,114083.0,5
2,4,B,BenchmarkScanDirFileHashes_1000,16361837.0,5
2,5,A,BenchmarkFullDirLoad_1000,183774899.0,5
2,5,A,BenchmarkIncrementalLoad_1000_NoChange,16676760.0,5
2,5,A,BenchmarkResolveSilentModes_1000,111222.0,5
2,5,A,BenchmarkScanDirFileHashes_1000,16488861.0,5
